ICAO,Name,Latitude,Longitude,Elevation
KHPN,Westchester County Airport,41.0670,-73.7076,439
KISP,Long Island MacArthur Airport,40.7952,-73.1002,99
KPBI,Palm Beach International Airport,26.6832,-80.0956,19
KRIC,Richmond International Airport,37.5052,-77.3197,167
KRNO,Reno-Tahoe International Airport,39.4991,-119.7681,4415
KSRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544,30
KTUS,Tucson International Airport,32.1161,-110.9410,2643
KTUL,Tulsa International Airport,36.1984,-95.8881,677
KABQ,Albuquerque International Sunport,35.0402,-106.6090,5355
KBOI,Boise Airport,43.5644,-116.2228,2871
KBUF,Buffalo Niagara International Airport,42.9405,-78.7322,728
KFAT,Fresno Yosemite International Airport,36.7762,-119.7181,336
KGRR,Gerald R Ford International Airport,42.8808,-85.5228,794
KHSV,Huntsville International Airport,34.6372,-86.7751,629
KJAX,Jacksonville International Airport,30.4941,-81.6879,30
KLIT,Bill and Hillary Clinton National Airport,34.7294,-92.2243,262
KMEM,Memphis International Airport,35.0424,-89.9767,341
KOKC,Will Rogers World Airport,35.3931,-97.6007,1295
KOMG,Omega Airport,25.8978,-97.4286,25
KPNS,Pensacola International Airport,30.4734,-87.1866,121
KPVD,T F Green Airport,41.7240,-71.4281,55
KSAV,Savannah/Hilton Head International Airport,32.1276,-81.2021,51
KSDF,Louisville Muhammad Ali International,38.1744,-85.7360,501
KSJC,Norman Y Mineta San Jose International,37.3626,-121.9290,62
KSYR,Syracuse Hancock International Airport,43.1112,-76.1063,421
KTYS,McGhee Tyson Airport,35.8111,-83.9940,981
EGLL,London Heathrow Airport,51.4700,-0.4543,83
EGKK,London Gatwick Airport,51.1481,-0.1903,202
EHAM,Amsterdam Schiphol Airport,52.3086,4.7639,11
EDDF,Frankfurt Airport,50.0333,8.5706,364
LFPG,Paris Charles de Gaulle Airport,49.0097,2.5479,392
LEMD,Madrid-Barajas Airport,40.4983,-3.5676,1998
LIRF,Rome Fiumicino Airport,41.8003,12.2389,13
LSZH,Zurich Airport,47.4647,8.5492,1416
LOWW,Vienna International Airport,48.1103,16.5697,600
EDDM,Munich Airport,48.3538,11.7861,1487
LEBL,Barcelona-El Prat Airport,41.2971,2.0785,12
LPPT,Lisbon Portela Airport,38.7813,-9.1359,374
EKCH,Copenhagen Airport,55.6180,12.6560,17
ESSA,Stockholm Arlanda Airport,59.6519,17.9186,137
ENGM,Oslo Gardermoen Airport,60.1939,11.1004,681
EIDW,Dublin Airport,53.4213,-6.2701,242
EBBR,Brussels Airport,50.9014,4.4844,184
LSGG,Geneva Airport,46.2381,6.1090,1411
CYYZ,Toronto Pearson International Airport,43.6777,-79.6248,569
CYVR,Vancouver International Airport,49.1947,-123.1840,14
CYUL,Montreal-Pierre Elliott Trudeau International,45.4706,-73.7408,118
CYYC,Calgary International Airport,51.1139,-114.0203,3557
MMMX,Mexico City International Airport,19.4363,-99.0721,7316
MMUN,Cancun International Airport,21.0366,-86.8771,22
SCEL,Santiago International Airport,-33.3930,-70.7858,1555
SBGR,Sao Paulo-Guarulhos International Airport,-23.4356,-46.4731,2459
SAEZ,Buenos Aires Ministro Pistarini International,-34.8222,-58.5358,67
SKBO,Bogota El Dorado International Airport,4.7016,-74.1469,8361
